EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,ID_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,TIPOS_ESPACIOS,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,ESPACIOS_ID,HABILIDAD1_ID,HABILIDAD2_ID,HABILIDAD3_ID,HABILIDAD4_ID,HABILIDAD5_ID,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,MATERIA1_ID,MATERIA2_ID,MATERIA3_ID,MATERIA4_ID,MATERIA5_ID
22,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,2,5,4,1,5,5,1,2,CAMPO,LIDERAZGO,PROACTIVO,INNOVACION,ADAPTABILIDAD,NOINFO,7.0,8.0,6.0,8.0,0.0,PERSONAL,1,3,100,96,24,1,MATEMATICAS, INFORMATICA,NOINFO,NOINFO,NOINFO,9.0,10.0,0.0,0.0,0.0,NINGUNO,S/CARRERA,1,6,1,2,1
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,5,5,5,3,1,1,1,5,3,CAMPO,ANALISIS,OBSERVACION,LOGICA,DESTREZA,RH,7.0,9.0,8.0,7.0,6.0,PERSONAL,1,1,27,5,9,69,LOGICA, INFORMATICA, PSICOLOGIA,NOINFO,NOINFO,10.0,10.0,8.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,21,6,21,2,1
20,HOMBRE,INGENIERIA EN COMPUTACION,15,0,4,5,5,4,4,5,3,3,3,3,CAMPO,INGENIO,DISCIPLINA,ANALISIS,LOGICA,ORDEN,8.0,10.0,8.0,8.0,9.0,PERSONAL,1,13,25,7,1,51,CALCULO,CIBERNETICA,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,WEB / REDES SOC,S/CARRERA,2,9,1,2,1
21,MUJER,INGENIERIA EN COMPUTACION,18,0,4,4,3,5,5,1,1,1,1,1,CAMPO,CAPACIDAD DE ANALISIS,CAPACIDAD DE DECISCION,TRABAJO EN EQUIPO,HABLAR OTRO IDIOMA,AUTODIDACTA,9.0,9.0,10.0,7.0,10.0,PERSONAL,1,40,35,8,126,8,NOINFO,NOINFO,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,NINGUNO,DIFERENTE,7,4,1,2,1
21,MUJER,INGENIERIA ELECTRICA ELECTRONICA,17,2,1,4,5,5,1,1,1,3,1,1,CAMPO,ABSTRACCION,MATEMATICA,NOINFO,NOINFO,NOINFO,9.0,8.0,0.0,0.0,0.0,PERSONAL,1,0,10,1,0,1,MATEMATICAS,FISICA,IDIOMA,NOINFO,NOINFO,8.0,10.0,10.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,1,2,53,2,1
20,MUJER,INGENIERIA INDUSTRIAL,18,1,4,5,5,3,5,4,5,3,5,5,CAMPO,ANALISIS,INVESTIGACION,RESOLVER PROBLEMAS,ATENCION,OBSERVACION,8.0,8.0,9.0,7.0,9.0,PERSONAL,1,1,91,36,86,39,ALGEBRA,CALCULO,PROBABILIDAD,ECONOMIA,NOINFO,7.0,8.0,8.0,7.0,0.0,NINGUNO,S/CARRERA,5,3,17,24,1
19,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,4,5,5,4,5,4,1,1,3,OTROS,RAZONAMIENTO,IMAGINACION,CREATIVIDAD,ADAPTACION,ACTUALIZACION,7.0,8.0,8.0,9.0,7.0,PERSONAL,3,9,11,4,35,58,NOINFO,NOINFO,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,WEB / REDES SOC,S/CARRERA,7,4,1,2,1
22,HOMBRE,INGENIERIA MECATRONICA,18,4,4,4,5,2,1,1,3,1,1,2,OTROS,ANALISIS,LOGICA,APLICACION,DESTREZA,SOCIALES,9.0,10.0,8.0,9.0,9.0,PERSONAL,3,1,5,82,9,44,MATEMATICAS,FISICA,COMPUTACION,QUIMICA,NOINFO,10.0,10.0,10.0,9.0,0.0,WEB / REDES SOC,SIMILAR,1,2,6,7,1
21,HOMBRE,INGENIERIA EN COMPUTACION,19,0,5,5,4,1,2,2,4,4,2,2,CAMPO,ANALISIS,MEMORIA,COMPRENSION,CREATIVIDAD,AUTODIDACTA,9.0,8.0,9.0,8.0,8.0,PERSONAL,1,1,48,23,5,8,MATEMATICAS,FISICA,INFORMATICA,NOINFO,NOINFO,8.0,8.0,9.0,0.0,0.0,TV/MEDIOS IMPRESOS,DIFERENTE,1,2,12,2,1
20,MUJER,INGENIERIA EN COMPUTACION,17,0,5,5,5,5,5,4,2,1,1,1,CAMPO,COMPRENSION,TRABAJO EN EQUIPO,LOGICA,ANALISIS,NOINFO,8.0,6.0,8.0,8.0,0.0,PERSONAL,1,48,19,5,11,1,MATEMATICAS,COMPUTACION, GEOMETRIA,NOINFO,NOINFO,9.0,10.0,8.0,0.0,0.0,NINGUNO,MISMA,1,26,3,2,1
27,HOMBRE,INGENIERIA MECANICA,15,7,5,5,5,1,1,1,1,1,4,1,EXTRANJERO,ANALIZAR,GENERAR,ESTRUCTURAR,INVESTIGAR,APLICAR,9.0,9.0,9.0,8.0,10.0,PERSONAL,2,8,89,71,92,87,FISICA,MATEMATICAS, GEOMETRIA,QUIMICA,CALCULO,9.0,10.0,9.0,8.0,10.0,WEB / REDES SOC,DIFERENTE,3,1,3,7,4
22,HOMBRE,INGENIERIA GEOFISICA,18,5,5,4,5,1,5,5,1,1,1,4,EXTRANJERO,MATEMATICAS,PROGRAMACION,COMPRENSION,CONDICION FISICA,EXPRESION,8.0,6.0,8.0,10.0,9.0,PERSONAL,2,5,15,23,40,19,GEOLOGIA Y MINERALOGIA,GEOGRAFIA,NOINFO,NOINFO,NOINFO,10.0,9.0,0.0,0.0,0.0,NINGUNO,SIMILAR,18,10,1,2,1
21,MUJER,INGENIERIA EN COMPUTACION,16,0,5,5,4,2,1,1,1,1,2,2,CAMPO,PERSEVERANCIA,OBSERVADOR,LOGICA,TENACIDAD,PACIENCIA,10.0,8.0,9.0,9.0,10.0,PERSONAL,1,44,26,5,78,7,INFORMATICA,OPCION TECNICA,NOINFO,NOINFO,NOINFO,10.0,9.0,0.0,0.0,0.0,NINGUNO,DIFERENTE,8,27,1,2,1
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,4,2,5,5,5,5,5,1,3,CAMPO,DISCIPLINA, CONOCIMIENTOS DE DIVERSAS AREAS DE LA INGENIERIA,PROACTIVO,CURIOSO,NOINFO,5.0,6.0,9.0,9.0,0.0,PERSONAL,1,12,58,46,98,1,MATEMATICAS,LOGICA,ESPANOL,NOINFO,NOINFO,10.0,9.0,8.0,0.0,0.0,NINGUNO,DIFERENTE,1,5,46,2,1
21,MUJER,INGENIERIA EN COMPUTACION,17,0,4,5,4,5,1,1,1,1,1,1,CAMPO,INTELIGENCIA,LOGICA,PACIENCIA,DISCIPLINA,PERSEVERANCIA,9.0,8.0,2.0,7.0,8.0,PERSONAL,1,37,5,16,49,65,FILOSOFIA,MATEMATICAS,FISICA,COMPUTACION,NOINFO,6.0,10.0,8.0,9.0,0.0,NINGUNO,DIFERENTE,26,1,0,8,1
19,HOMBRE,INGENIERIA EN COMPUTACION,17,0,5,5,4,4,5,1,1,1,1,3,CAMPO,SOCIABILIDAD,OBSERVACION,ANALISIS,PLANEACION,NOINFO,7.0,9.0,8.0,7.0,0.0,PERSONAL,1,85,27,7,6,1,INFORMATICA,COMPUTACION,ALGORITMOS,DERECHO,TIC,10.0,10.0,9.0,9.0,9.0,NINGUNO,SIMILAR,8,26,58,16,42
19,HOMBRE,INGENIERIA EN COMPUTACION,18,0,3,5,3,2,5,5,3,3,4,3,CAMPO,DISCIPLINA,PASION,RESPONSABILIDAD,ANALISIS,NOINFO,8.0,9.0,10.0,10.0,0.0,PERSONAL,1,12,70,29,11,1,MATEMATICAS,FISICA, LOGICA,NOINFO,NOINFO,10.0,10.0,10.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,1,2,5,2,1
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,2,4,5,5,4,4,4,1,4,3,CAMPO,CREATIVIDAD,PENSAMIENTO LOGICO,DISENO,HABILIDAD MATEMATICA,TRABAJO EN EQUIPO,7.0,8.0,8.0,8.0,9.0,PERSONAL,1,2,6,17,12,3,INFORMATICA,CALCULO, LOGICA, GEOMETRIA,ALGEBRA,10.0,8.0,10.0,9.0,10.0,WEB / REDES SOC,DIFERENTE,8,3,5,15,16
26,HOMBRE,INGENIERIA EN COMPUTACION,21,0,4,5,4,1,2,3,3,2,1,1,OTROS,ABSTRACCION,LOGICA,HABILIDAD MATEMATICA,RESOLUCION DE PROBLEMAS,TRABAJO EN EQUIPO,9.0,8.0,8.0,8.0,5.0,PERSONAL,3,0,5,65,14,3,PROGRAMACION,INTRODUCCION A LA COMPUTACION,REDES DIGITALES,CIRCUITOS DIGITALES,DISPOSITIVOS DIGITALES,9.0,10.0,8.0,10.0,9.0,WEB / REDES SOC,S/CARRERA,19,34,52,41,36
22,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,5,4,1,2,1,1,1,5,5,OTROS,PENSAMIENTO LOGICO,PACIENCIA,HABILIDAD MATEMATICA,RESOLUCION DE PROBLEMAS,ABSTRACCION,8.0,10.0,8.0,8.0,7.0,PERSONAL,3,43,13,65,14,15,DISENO DIGITAL,ELECTRONICA,FISICA,ALGEBRA,ELECTRONICA DIGITAL,10.0,10.0,10.0,9.0,10.0,CARRERA DE MODA,S/CARRERA,23,53,0,5,47
18,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,4,4,1,5,5,1,1,2,OFICINAS,PROGRAMAR,LOGICA,ANALISIS E INVESTIGACION,TRABAJO EN EQUIPO,MATEMATICAS,9.0,10.0,8.0,8.0,9.0,PERSONAL,0,35,5,66,2,21,MATEMATICAS,LOGICA,INFORMATICA,NOINFO,NOINFO,8.0,9.0,8.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,1,5,12,2,1
22,HOMBRE,INGENIERIA GEOFISICA,18,5,4,5,5,3,4,4,1,1,3,5,EXTRANJERO,MATEMATICA, CONOCIMIENTOS DE DIVERSAS AREAS DE LA INGENIERIA,LOGICA,COMPUTACIONAL,INTERDICIPLINA,7.0,9.0,8.0,5.0,10.0,PERSONAL,2,14,58,5,79,46,CALCULO,GEOGRAFIA,FISICA,COMPUTACION,IDIOMAS,8.0,9.0,8.0,5.0,8.0,WEB / REDES SOC,DIFERENTE,2,10,0,8,14
22,HOMBRE,INGENIERIA GEOFISICA,17,5,4,5,2,1,1,4,5,1,4,4,OTROS,MATEMATICA,FISICA,ANALISIS,COMPUTO,INGLES,9.0,9.0,10.0,9.0,8.0,PERSONAL,3,14,34,7,84,26,CALCULO,ETIMOLOGICAS,FISICA,DERECHO,PSICOLOGIA,10.0,10.0,10.0,8.0,10.0,CARRERA DE NUEVA,DIFERENTE,2,50,0,16,19
20,HOMBRE,INGENIERIA GEOFISICA,17,5,5,4,5,1,4,5,5,5,5,5,EXTRANJERO,MATEMATICA, CONOCIMIENTOS DE DIVERSAS AREAS DE LA INGENIERIA,FISICA,LOGICA,ESPACIAL,9.0,9.0,9.0,9.0,8.0,PERSONAL,2,14,58,39,1,63,MATEMATICAS,FISICA,ORIENTACION EDUCATIVA,ETIMOLOGICAS,DERECHO,8.0,7.0,8.0,6.0,9.0,NINGUNO,DIFERENTE,1,2,25,37,9
22,HOMBRE,INGENIERIA GEOFISICA,17,5,4,4,5,5,5,5,1,5,3,3,OFICINAS,MATEMATICA,PROGRAMACION,IDIOMAS,ANALISIS ESPACIAL,REDACCION,10.0,8.0,7.0,10.0,8.0,PERSONAL,0,14,15,33,120,18,CALCULO,GEOMETRIA, DERECHO,DIBUJO,FISICA,10.0,9.0,9.0,8.0,9.0,NINGUNO,S/CARRERA,2,19,15,11,3
22,HOMBRE,INGENIERIA GEOFISICA,18,5,4,5,5,5,5,5,5,1,4,4,EXTRANJERO,FISICOMATEMATICA,UBIACION,IMAGINACION,OBSERVACION,INTERPRETACION,8.0,10.0,8.0,7.0,9.0,PERSONAL,2,63,96,56,54,29,FISICA,QUIMICA,MATEMATICAS,REDACCIO,IDIOMAS,8.0,8.0,10.0,8.0,8.0,NINGUNO,S/CARRERA,3,8,8,50,14
22,HOMBRE,INGENIERIA GEOFISICA,17,5,2,3,3,4,1,1,1,1,1,4,OTROS,ABSTRACTA,MATEMATICA,SOCIAL,LOGICA,REDACCION,7.0,7.0,8.0,7.0,7.0,PERSONAL,3,72,10,79,1,18,CALCULO,FISICA,DIBUJO,PINTURA,QUIMICA,9.0,10.0,10.0,1.0,8.0,NINGUNO,S/CARRERA,2,2,11,53,8
21,HOMBRE,INGENIERIA GEOFISICA,17,5,4,3,5,2,2,1,1,5,5,5,EXTRANJERO,FISICA,MATEMATICA,PROGRAMACION,INGLES,EXPOSICION DE TEMAS,9.0,10.0,9.0,10.0,9.0,PERSONAL,2,58,10,26,31,94,CALCULO,FISICA, GEOMETRIA,DERECHO,IDIOMAS,9.0,9.0,8.0,8.0,9.0,NINGUNO,DIFERENTE,2,2,3,16,14
21,MUJER,INGENIERIA INDUSTRIAL,18,1,5,5,5,1,3,2,1,1,1,1,OTROS,IDIOMA,ANALISIS,LECTURA,SENSIBILIDAD,INVESTIGACION,8.0,9.0,9.0,9.0,7.0,PERSONAL,3,55,7,62,95,6,LITERATURA,HISTORIA,LENGUA ESPANOLA,NOINFO,NOINFO,10.0,10.0,9.0,0.0,0.0,NINGUNO,DIFERENTE,17,21,36,2,1
22,MUJER,INGENIERIA INDUSTRIAL,18,1,4,3,4,5,5,2,3,4,1,1,CAMPO,HABILIDAD MATEMATICA,INGLES,ANALISIS,INVESTIGACION,NOINFO,7.0,8.0,8.0,8.0,0.0,PERSONAL,1,45,38,7,42,1,METODOLOGIA,HISTORIA, DERECHO,LOGICA,MATEMATICAS,8.0,8.0,8.0,9.0,8.0,TV/MEDIOS IMPRESOS,DIFERENTE,35,21,15,10,5
24,MUJER,INGENIERIA ELECTRICA ELECTRONICA,19,2,5,5,4,3,4,1,1,1,3,5,OFICINAS,MATEMATICAS,CREATIVIDAD,EXPRESION ORAL Y ESCRITA,NOINFO,NOINFO,7.0,7.0,7.0,0.0,0.0,PERSONAL,0,5,2,60,0,1,FISICA,QUIMICA,MATEMATICAS,NOINFO,NOINFO,7.0,10.0,8.0,0.0,0.0,NINGUNO,SIMILAR,3,8,8,2,1
19,MUJER,INGENIERIA EN COMPUTACION,18,0,3,3,5,5,2,5,1,4,3,5,CAMPO,PENSAMIENTO ABSTRACTO,ANALISIS,RAZONAMIENTO,CREATIVIDAD,ORGANIZACION,7.0,7.0,7.0,5.0,5.0,PERSONAL,1,20,7,21,5,0,MATEMATICAS, TEMAS SELECTOS DE MATEMATICAS,NOINFO,NOINFO,NOINFO,10.0,9.0,0.0,0.0,0.0,NINGUNO,DIFERENTE,1,13,1,2,1
22,HOMBRE,INGENIERIA GEOLOGICA,17,16,5,5,5,4,5,2,2,1,1,5,EXTRANJERO,LIDERAZGO,IDIOMA,TRABAJO EN EQUIPO,PRIMEROS AUXILIOS,COMPUTACION,7.0,6.0,10.0,5.0,8.0,PERSONAL,2,3,40,8,77,53,ALGEBRA,MECANICA,GEOGRAFIA,COMPUTO,INGLES,8.0,8.0,10.0,9.0,8.0,NINGUNO,DIFERENTE,5,52,13,38,0
24,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,4,4,4,4,4,4,4,4,CAMPO,PROACTIVO,RAZONAMIENTO,ADMINISTRACION,LIDERAZGO,EMPATIA,9.0,9.0,9.0,9.0,8.0,PERSONAL,1,27,12,87,20,35,NOINFO,NOINFO,NOINFO,NOINFO,NOINFO,0.0,0.0,0.0,0.0,0.0,NINGUNO,S/CARRERA,7,4,1,2,1
23,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,5,5,5,1,5,5,1,2,2,CAMPO,LOGICA,PACIENCIA,CONSTANCIA,ETICA,RAZONAMIENTO,8.0,10.0,8.0,9.0,8.0,FAMILIARES,1,26,13,11,28,11,FISICA,ESTADISTICA,CALCULO, GEOMETRIA,ALGEBRA,8.0,10.0,10.0,8.0,9.0,NINGUNO,S/CARRERA,3,12,7,15,16
26,HOMBRE,INGENIERIA EN COMPUTACION,22,0,2,5,2,2,5,1,1,1,5,4,CAMPO,RAZONAMIENTO,CURIOSIDAD,CREATIVIDAD,LOGICA,PACIENCIA,8.0,8.0,7.0,8.0,10.0,PERSONAL,1,9,85,4,1,7,MATEMATICAS,FISICA,DISENO,INGLES,ETICA,9.0,8.0,9.0,8.0,9.0,NINGUNO,SIMILAR,1,2,22,4,13
25,HOMBRE,INGENIERIA EN COMPUTACION,15,0,2,2,5,4,4,5,5,1,4,4,CAMPO,LIDERAZGO,TRABAJO EN EQUIPO,INTELIGENCIAS,DISCIPLINA,LOGICA,8.0,9.0,8.0,7.0,9.0,PERSONAL,1,3,19,114,49,23,PROGRAMACION,LOGICA,MATEMATICAS,FILOSOFIA,FISICA,7.0,8.0,9.0,8.0,8.0,NINGUNO,SIMILAR,19,5,8,0,3
21,HOMBRE,INGENIERIA EN COMPUTACION,16,0,4,3,5,5,1,3,2,1,2,3,CAMPO,INGENIO,RESPONSABILIDAD,CRITERIO,PENSAMIENTO ANALITICO,ABSTRACCION,8.0,7.0,9.0,9.0,8.0,PERSONAL,1,13,1,25,109,15,ALGEBRA, INFORMATICA,GEOMETRIA ANALITICA,FISICA,CALCULO,9.0,10.0,8.0,10.0,9.0,NINGUNO,DIFERENTE,5,6,31,3,4
22,HOMBRE,INGENIERIA EN COMPUTACION,16,0,5,5,4,3,2,1,1,1,2,2,CAMPO,RAZONAMIENTO,DEDICACION,PACIENCIA,PRACTICAR,TRABAJO EN EQUIPO,8.0,8.0,9.0,8.0,7.0,PERSONAL,1,9,9,16,45,3,CALCULO,CIBERNETICA,MATEMATICAS,FISICA,COMPUTACION,0.0,0.0,0.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,2,9,8,3,2
22,MUJER,INGENIERIA GEOFISICA,17,5,4,5,5,1,2,3,1,1,4,4,EXTRANJERO,PROGRAMAR,GEOLOGIA,MANEJO DE EQUIPO,INTERPRETACION,NOINFO,6.0,8.0,8.0,7.0,0.0,PERSONAL,2,35,56,67,34,1,MATEMATICAS, CALCULO DIFERENCIAL,CALCULO INTEGRAL,NOINFO,NOINFO,9.0,10.0,9.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,1,11,65,2,1
22,HOMBRE,INGENIERIA EN TELECOMUNICACIONES,17,9,4,4,5,5,4,5,5,5,4,3,CAMPO,DISENO,RESOLUCION DE PROBLEMAS,HABILIDADES COMUNICATIVAS,INVESTIGACION,HABILIDADES INFORMATICAS,8.0,9.0,10.0,8.0,9.0,PERSONAL,1,31,23,35,42,59,CALCULO,CIBERNETICA,COMUNICACION,FISICA, ECONOMIA,9.0,9.0,10.0,9.0,8.0,WEB / REDES SOC,S/CARRERA,2,9,44,3,22
22,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,5,1,5,5,4,1,4,5,OTROS,INGENIO,PROGRAMACION,MATEMATICAS,TRABAJO EN EQUIPO,EFICACIA,8.0,6.0,9.0,8.0,9.0,PERSONAL,3,13,15,20,2,91,MATEMATICAS,QUIMICA,INFORMATICA,PSICOLOGIA,DERECHO,10.0,9.0,9.0,8.0,6.0,NINGUNO,DIFERENTE,1,8,12,20,9
21,HOMBRE,INGENIERIA EN MINAS Y METALURGIA ,17,17,2,3,5,1,4,5,5,2,4,5,EXTRANJERO,RESOLVER PROBLEMAS,ANALISIS,TRABAJO EN EQUIPO,IDIOMAS,CONOCIMIENTOS DE NORMAS,9.0,9.0,5.0,7.0,6.0,OTROS ,2,15,7,8,60,45,CALCULO, ADMINISTRACION, ESTADISTICA,COMUNICACION,MATEMATICAS,8.0,10.0,9.0,10.0,10.0,NINGUNO,SIMILAR,2,18,10,21,5
23,MUJER,INGENIERIA GEOLOGICA ,17,16,4,4,5,2,2,2,2,2,1,2,EXTRANJERO,TRABAJO EN EQUIPO,IDIOMAS,CONOCIMIENTO DEL CONTEXTO AMBIENTAL,GEOHISTORIA,LOGICA,4.0,4.0,5.0,5.0,5.0,PERSONAL ,2,6,94,94,48,23,QUIMICA,MATEMATICAS,FISICA,TERMODINAMICA ,PROBABILIDAD ,8.0,8.0,8.0,0.0,0.0,NINGUNO,DIFERENTE,9,1,0,49,37
18,MUJER,INGENIERIA CIVIL ,15,3,5,3,4,4,5,5,1,1,2,3,EXTRANJERO,CREATIVIDAD,INGENIO,RAPIDEZ,DESEMPENO,EXCELENCIA,5.0,5.0,5.0,5.0,2.0,PERSONAL ,2,2,8,28,47,66,QUIMICA,FISICA,CALCULO,NOINFO,NOINFO,10.0,10.0,6.0,0.0,0.0,TV/MEDIOS IMPRESOS,DIFERENTE,9,2,7,2,1
18,MUJER,INGENIERIA CIVIL ,18,3,4,4,5,5,5,5,5,2,4,4,EXTRANJERO,IMAGINACION,INNOVACION,CREATIVIDAD,DESEMPENO,NOINFO,8.0,8.0,9.0,8.0,0.0,PERSONAL ,2,22,21,4,47,1,CALCULO,GEOMETRIA ANALITICA,FISICA,NOINFO,NOINFO,8.0,9.0,9.0,0.0,0.0,TV/MEDIOS IMPRESOS,DIFERENTE,2,17,0,2,1
22,HOMBRE,INGENIERIA CIVIL ,16,3,5,4,5,5,4,5,2,3,5,5,EXTRANJERO,IMAGINACION,CAPACIDAD DE DECISCION,ENSENAR,NOINFO,NOINFO,7.0,8.0,8.0,8.0,0.0,PERSONAL ,2,22,35,90,0,1,MATEMATICAS,FISICA,QUIMICA,DIBUJO,NOINFO,7.0,10.0,8.0,9.0,0.0,NINGUNO,S/CARRERA,1,2,2,11,1
20,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,4,3,4,5,5,1,1,1,CAMPO,LOGICA,RAZONAMIENTO,MATEMATICAS,CONDICION FISICA,DISCIPLINA,8.0,8.0,7.0,7.0,10.0,PERSONAL ,1,26,12,20,40,10,CALCULO,PROGRAMACION, ESTADISTICA,FISICA,ALGEBRA,9.0,9.0,9.0,9.0,9.0,NINGUNO,SIMILAR,2,24,10,3,16
24,HOMBRE,INGENIERIA INDUSTRIAL,18,1,2,5,4,3,2,4,4,4,4,5,CAMPO,RAZONAMIENTO,TOMA DE DECISIONES,VENTAS,TRABAJO BAJO PRESION,MATEMATICAS,8.0,9.0,9.0,8.0,6.0,PERSONAL ,1,9,20,68,23,21,MATEMATICAS,MARKETING ,TOMA DE DECISIONES ,MANOFACTURA ,IDIOMA ,6.0,7.0,8.0,8.0,9.0,WEB / REDES SOC,DIFERENTE,1,31,62,43,54
20,HOMBRE,INGENIERIA EN COMPUTACION,17,0,3,4,1,1,3,5,4,2,3,1,OTROS,DISCIPLINA,CREATIVIDAD,TRABAJO EN EQUIPO,INTELIGENCIA,CONOCIMIENTO,7.0,8.0,6.0,9.0,8.0,PERSONAL ,3,12,2,8,17,12,CALCULO,FISICA, ALGEBRA,CIBERNETICA, REDACCION,8.0,9.0,8.0,10.0,7.0,TV/MEDIOS IMPRESOS,S/CARRERA,2,2,9,31,17
