EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,PLAN_ESTUDIOS_DETERMINANTE,TIPOS_ESPACIOS,OTROS_TIPO_ESPAC,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,OTROS_ELEC_CARRERA,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,,,
27,Hombre,Ingenier°a Civil,18,4,5,4,1,2,1,1,2,3,2,4,Campo,,Sentido Com£n,Responsabilidad,Comunicaci¢n,Fisico-Matem†ticas,Trabajo en equipo,9,8,9,9,8,Personal,,F°sica,Matem†ticas,Qu°mica,êtica Profesioanal,Orientaci¢n Educativa,9,9,8,10,10,Ninguno,Similar,,,
55,Hombre,Arquitectura,16,5,5,4,4,4,1,1,5,5,1,2,Campo,,An†lisis,Toma de decisiones,Programaci¢n de actividades,Control,Eficiencia,9,9,8,9,9,Personal,,F°sica,Matem†ticas,Dibujo,Biolog°a,êtica,8,8,10,8,9,Ninguno,S/carrera,,,
40,Hombre,Ingenier°a en Computaci¢n,17,4,5,5,1,5,4,4,3,1,2,2,Oficinas,,L¢gica,Creatividad,Capacidad de Abstracci¢n,,,8,9,8,,,Personal,,C†lculo,F°sica,EstÇtica,Administraci¢n,,9,8,10,7,,Ninguno,Diferente,,,
29,Mujer,Inform†tica,19,4,3,3,3,3,4,4,1,3,3,2,Oficinas,,Comunicaci¢n,Objetividad,pragm†tica,Creatividad,Meticulosa,6,7,7,8,8,Personal,,MatÇmaticas,,,,,8,,,,,Ninguno,S/carrera,,,
20,Mujer,Administraci¢n,18,4,4,5,5,5,1,5,5,5,4,5,Oficinas,,Liderazgo,An†lisis de riesgos,Toma de decisiones,Comunicaci¢n,Habilidad Matem†tica,9,9,8,9,6,Personal,,Administraci¢n,Derecho,Estad°stica,Historia Universal,,10,10,10,10,,Ninguno,Similar,,,
35,Hombre,Ingenier°a de Software,30,5,5,4,1,3,1,4,2,3,3,4,Oficinas,,Desarrollo,Creatividad,Dise§o,An†lisis,,8,8,8,8,,Personal,,Computaci¢n,Matem†ticas,,,,10,9,,,,Web / Redes Soc,Diferente,,,
25,Hombre,Ingenier°a en Computaci¢n,17,5,4,5,1,5,5,5,5,4,4,5,Oficinas,,An†lisis,Actitud,Emprendimiento,Liderazgo,Paciencia,9,10,8,8,9,Personal,,CibernÇtica y Computaci¢n,F°sica,C†lculo,Qu°mica,,10,10,10,10,,Web / Redes Soc,S/carrera,,,
22,Hombre,Administraci¢n,18,5,5,4,4,4,1,1,1,1,1,4,Oficinas,,Dinamismo,An†lisis,Compa§erismo,Influyente,Facilidad de palabra,9,10,9,8,8,Personal,,Estad°stica,Contabilidad y Administraci¢n,Geoeconom°a,Int. al estudio de CIencias Sociales,,10,10,10,9,,Ninguno,Diferente,,,
21,Hombre,Administraci¢n,17,5,5,4,5,4,4,4,2,3,1,4,Oficinas,,Liderazgo,Negociaci¢n,Comunicaci¢n,Toma de decisiones,Estrategia,9,8,10,9,10,Personal,,Administraci¢n,Contabilidad ,Matem†ticas,Derecho,Estad°stica,10,8,9,10,10,Web / Redes Soc,Diferente,,,
33,Hombre,Dise§o y Comunicaci¢n Visual,16,2,1,2,1,2,5,5,4,1,2,2,Oficinas,,Creatividad,Improvisaci¢n,Constancia,Perseverancia,,6,5,5,4,,Personal,,EstÇtica,Dibujo,,,,8,9,,,,Ninguno,Diferente,,,
21,Mujer,Ingenieria Industrial,18,5,5,4,5,2,1,2,1,1,2,4,Oficinas,,analisis,liderazgo,sintesis,emprendedro,organizado,9,8,10,9,10,Personal,,Matematicas,quimica,fisica,probabilidad,literatura,9,10,8,9,10,Ninguno,Diferente,,,
22,Hombre,Ingenieria Industrial,19,3,1,5,5,5,3,3,1,4,5,3,Oficinas,,organizaci¢n,inovacion,planeacion,control,produccion,8,9,8,9,9,Personal,,fisica,calculo,ingles,Quimica,estadistica,9,8,10,8,8,Ninguno,Diferente,,,
22,hombre,Ingenieria Industrial,18,4,4,5,5,5,5,5,5,5,5,4,Extranjero,,Creatividad,criterio analitico,inovacion,empatia,liderazgo,8,9,8,8,8,Personal,,matematicas,ingles,,,,8,9,,,,Ninguno,S/carrera,,,
21,Mujer,Ingenieria Industrial,18,2,4,5,5,5,5,5,5,5,5,5,Campo,,Creatividad,visualizar a largo plazo,analista,recto,,9,9,8,8,,Familiares,,geometria,Historia de Mexico,fisica,algebra,,9,10,10,10,,TV/Medios impresos,S/carrera,,,
21,Hombre,Ingenieria Industrial,19,3,2,5,1,4,1,1,1,5,3,2,Extranjero,fabricas,etica,negocios,contabilidad,administracion,liderazgo,9,10,7,9,8,Personal,,Matematicas,fisica,quimica,informatica,temas selectos de mate,10,10,8,10,10,Ninguno,similar,,,
23,hombre,ingenieria computacion,17,4,4,1,1,1,4,5,1,1,4,1,Oficinas,,razonamiento ,Trabajo en equipo,autodidacta,Razonamiento,,8,7,9,9,,Personal,,computo,calculo,fisica,Matematicas,,10,8,7,8,,Ninguno,S/carrera,,,
23,Hombre,ingenieria computacion,18,4,4,4,4,,3,3,4,1,3,3,Oficinas,,emprender,reflexionar,resolver problemas,analisis,,8,8,9,8,,Personal,,calculo,fisica,computacion,algebra,,8,8,9,10,,TV/Medios impresos,S/carrera,,,
22,mujer,ingenieria sistemas biomedico,19,5,5,5,1,2,1,1,1,2,2,2,otros,hospitales,integrar conceptos,trabajo equipo,altruismo,entendimiento,conceptos de electronica,9,8,9,10,9,Personal,,fisica,biologia,quimica,etica,salud,9,10,10,10,10,carrera nueva,diferente,,,
21,hombre,Ingenieria Industrial,18,5,5,5,1,5,1,1,5,5,5,5,oficinas,,liderazgo,disiplina,perseverancia,trabajo en equipo,actitud,10,10,10,10,10,Personal,,matematicas,calculo,fisica,algebra,,10,9,9,9,,TV/Medios impresos,S/carrera,,,
21,hombre,Ingenieria Industrial,18,5,4,5,5,5,5,5,5,4,4,4,Extranjero,,disiplina,liderazgo,perseverancia,matematica,Toma de desiciones,9,7,10,8,7,Personal,,matematicas,temas selectos de mat.,fisica,estadistica,,8,10,8,9,,Ninguno,diferente,,,
25,Hombre,Ingenieria en computacion,16,5,5,5,5,5,5,5,1,5,5,5,Oficinas,,Creatividad,Constancia,Pensamiento crtitico,Eficacia,Ingles,10,7,8,7,9,Personal,,Algebra,Fisica,Quimica,Administracion,Filosofia,10,8,7,8,10,TV/Medios impresos,Diferente,,,
22,Mujer,Ingenieria en computacion,17,4,4,3,1,1,1,1,1,1,1,3,Oficinas,,Razocineo,Lïgica,Entendimiento,Trabajo en equipo,Ingles,9,9,9,8,9,Personal,,Cibernetica,Fisica,Matematicas,Programacion,Logica,10,9,10,8,8,Ninguno,S/carrera,,,
23,Hombre,Ingenieria en computacion,17,4,5,5,5,1,5,5,5,3,5,5,Oficinas,,Vision,Trabajo en equipo,Liderazgo,Razonamiento,Logica,8,10,8,7,9,Personal,,Matematicas,Fisica,Programacion,Quimica,Logica,9,7,9,10,8,Ninguno,Diferente,,,
23,Hombre,Ingenieria en computacion,17,3,4,5,5,4,5,5,3,4,4,4,Oficinas,,Sintesis,Razonamiento,Liderazgo,Logica,Vision,8,8,7,8,8,Personal,,Calculo,Estadistica,Programacion,Logica,Filosofia,9,8,10,1,9,Web / Redes Soc,S/carrera,,,
22,Hombre,Ingenieria en computacion,17,3,2,4,2,1,5,5,1,1,1,1,Oficinas,,Resolver problemas,Absracion,Analitico,Autodidacta,Organizaci¢n,7,7,8,8,7,Personal,,Matematicas,Fisica,Quimica,Informatica,Logica,8,6,9,9,10,Web / Redes Soc,S/carrera,,,
21,Hombre,Ingeniria Industrial,18,4,4,4,1,5,5,5,1,1,3,5,Oficinas,,Analitico,Liderazgo,Productivo,Inovacion,Creatividad,10,7,8,7,7,Personal,,Calculo,Estadistica,Matematicas,Logica,Literatura,10,10,9,8,7,Ninguno,S/carrera,,,
21,Mujer,Ingeniria Industrial,16,5,5,5,4,3,1,1,4,4,4,4,Oficinas,,Dise§o,Logistica,Creatividad,Innovacion,Planeacion,10,9,9,8,9,Personal,,Matematicas,Estadistica,Quimica,Algebra,Filosofia,9,7,8,9,10,Ninguno,S/carrera,,,
21,Mujer,Ingeniria Industrial,18,4,4,5,5,4,1,4,2,4,4,2,Campo,,Liderazgo,Razonamiento,Creatividad,Logica,Responsabilidad,4,4,3,4,4,Personal,,Fisica,Matematicas,Quimica,Algebra,Calculo,1,9,9,9,8,Ninguno,S/carrera,,,
20,Mujer,Ingeniria Industrial,17,5,5,5,1,1,1,1,1,1,2,1,Campo,,Liderazgo,Creatividad,Emprendimiento,Trabajo en equipo,Etica,7,6,7,9,10,Personal,,Calculo,Estadistica,Fisica,Algebra,Quimica,10,10,8,9,9,Ninguno,S/carrera,,,
21,Mujer,Ingeniria Industrial,17,4,5,5,5,3,5,3,3,4,4,4,Campo,,Eficiencia,Optimizar,Analitico,Hablar en publico,Liderazgo,9,9,9,10,10,Personal,,Calculo,Fisica,Quimica,Dise§o ambiental,Expresion grafica,8,9,9,9,10,Web / Redes Soc,S/carrera,,,
23,Hombre,Ingenieria electrica-electronica,17,5,5,4,4,3,3,5,4,4,4,3,Campo,,Abstraci¢n,Pensamiento cr°tico,Habilidad numerica,Idiomas,Comprensi¢n de lectura,8,8,8,5,7,Personal,,Calculo,Geometria,Programacion,Algebra,Ingles,9,8,8,8,5,Ninguno,S/carrera,,,
22,Mujer,Ingenier°a Petrolera,18,4,4,5,5,1,5,4,3,5,5,4,Campo,,Liderazgo, toma de desiciones, habilidad para matematicas, visualizar espacio y trabajar en un ambiente diferente,,9,8,9,10,7,Personal,,C†lculo Diferencial e integral, µlgebra, Geometr°a Anal°tica, Temas Selectos de Matem†ticas y Qu°mica.,,10,8,10,10,9,Web / Redes Sociales,Sin Carrera,,,
26,Mujer,Ingenieria en Computacion,15,4,4,5,5,3,3,2,2,4,4,4,Oficinas,,Liderazgo, an†lisis, trabajo en equipo, razonamiento, l¢gica,8,8,7,9,8,Personal,,C†lculo integral y Diferencial, CibernÇtica, F°sica, Administraci¢n,,6,9,7,9,,TV / Medios Impresos,Diferente,,,
20,Mujer,Contaduria,17,4,5,5,5,5,5,1,1,1,2,5,Oficinas,,Habilidad matem†tica, disciplina, Razonamiento L¢gico, toma de decisiones, habilidades de comunicaci¢n,10,8,9,8,7,Personal,,Administraci¢n y contabilidad, matem†ticas, derecho, problemas sociales pol°ticos y econ¢micos de MÇxico, geograf°a econ¢mica,10,8,8,10,10,Ninguna,Misma,,,
26,Hombre,Ingenier°a mecatr¢nica,18,1,2,1,1,1,1,1,1,4,4,1,Campo,,matem†ticas, L¢gica, Idiomas, Trabajo en equ°po,,7,,,,,Familiares,,Temas selectos de matem†ticas,,,,,10,,,,,Ninguna,Diferente,,,
24,Mujer,Contaduria,18,2,4,5,1,5,5,5,4,1,4,1,Oficinas,,Trabajo en equipo,liderazgo,toma de decisiones,razonamiento logico y ser sociable,,9,7,7,7,8,Personal,,Probabiblidad y Estadistica, lenguaje y comunicacion,admistracion,economia,lengua extranjera,9,9,9,8,10,Ninguna,Misma,,,
22,Mujer,Ingenier°a Industrial,17,5,5,4,5,5,1,1,1,1,1,5,los tres anteriores,,Proactividad,,,,,9,7,9,6,9,Personal,,Estad°stica y Probabilidad,,,,,8,8,8,9,8,Ninguna,Sin Carrera,,,
24,Hombre,Ingenieria en Computacion,16,5,5,5,5,1,1,4,1,4,4,4,Oficinas,,Ingenio, abstracto, autodidacta, paciencia, dominio de ingles,10,10,9,8,9,Personal,,Cibernetica y computaci¢n, Probabilidad y estad°stica, c†lculo diferencial, c†lculo integral, computaci¢n,10,10,9,9,10,TV / Medios Impresos,Sin Carrera,,,
26,Mujer,Ingenieria en Computacion,19,5,5,5,5,5,1,5,1,1,4,5,Oficinas,,analisis, responsabilidad, saber buscar informacion, tolarancia, atencion al detalle,9,10,8,9,10,Personal,,inteligencia artificial, admin de proyectos de software, PLN, Probabilidad, Discretas,8,10,9,6,9,Familiar,Diferente,,,
22,Hombre,Ingenieria en Computacion,18,4,5,5,5,5,5,5,5,5,1,1,Oficinas,,Estudiar constantemente, responsabilidad, prevenci¢n, visi¢n y comprensi¢n,,2,3,3,4,4,Personal,,Negocios electr¢nicos, bases de datos, inteligencia artificial, administraci¢n de proyectos de software e ingenier°a de software,,8,7,7,8,9,Ninguna,Sin Carrera,,,
27,Mujer,Ingenier°a ElÇctrica y Electr¢nica,22,5,5,5,5,5,1,1,1,5,5,5,Oficinas,,agilidad mental, imaginaci¢n, trabajo bajo presi¢n,,,9,10,8,,,Personal,,Matem†ticas y f°sica,,,,,9,9,,,,Amigos,Sin Carrera,,,
22,Hombre,Ingenier°a Civil,18,4,4,4,5,2,1,1,1,5,4,2,Campo,,Toma de decisiones, creatividad, trabajo en equipo, ingenio, liderazgo,3,3,5,4,4,Personal,,Calculo diferencial, integral, cinem†tica y din†mica, f°sica, Çtica,10,9,9,8,9,Ninguna,Diferente,,,
26,Mujer,Ingenieria en Computacion,18,5,4,5,1,1,5,5,1,5,5,5,Oficinas,,Paciencia, destreza, tolerancia, responsabilidad y habilidad,,2,3,2,2,3,Personal,,Calculo diferencial, f°sica, matem†ticas, econom°a y administraci¢n,,10,9,8,9,9,Ninguna,Sin Carrera,,,
25,Hombre,Ciencia Politica,19,5,5,5,5,2,1,1,1,1,2,2,"Centros de investigaciones, partidos politicos e instituciones publicas",,Sintesis, analisis, pensamiento prospectivo, capacidad explicativa y excelente redadccion,,9,9,9,9,9,Personal,,Problemas Politicos, sociales y economicos de MÇxico, Historia de MÇxico, Historia Universal, Sociologia y Derecho,9,9,9,8,8,Ninguna,Sin Carrera,,,
23,Hombre,Ingenieria en Computacion,18,4,4,5,5,5,3,3,4,4,4,4,Oficinas,,L¢gica, constancia, memoria, paciencia e intuici¢n,,9,8,7,6,8,Personal,,C†lculo Diferencial, C†lculo Integral, CAD, Computaci¢n y Dise§o,,5,5,5,5,5,Carrera de Moda,Sin Carrera,,,
23,Hombre,Ingenier°a Civil,18,5,5,5,5,1,2,2,1,5,4,4,Campo,,- Dise§ar estructuras,,,,,8,7,8,8,9,Personal,,1.-Matem†ticas IV,,,,,6,6,9,7,8,Ninguna,Diferente,,,
25,Mujer,Dise§o y comunicaci¢n visual,17,4,5,3,5,5,5,5,1,5,1,1,Oficinas,,Creatividad, paciencia, visi¢n, cognitiva, motriz,4,3,4,4,4,Personal,,Expresi¢n gr†fica, comunicaci¢n psicolog°a, filosof°a, historia,,10,10,10,8,8,Web / Redes Sociales,Diferente,,,
26,Hombre,Ingenier°a ElÇctrica y Electr¢nica,18,2,2,5,5,5,5,5,5,5,5,5,Oficinas,,Responsabilidad, Liderazgo, Paciencia, Inteligencia, Rapidez,2,3,3,3,2,Personal,,Calculo integral, calculo diferencial, geometr°a, †lgebra, estad°stica,8,7,7,7,8,TV / Medios Impresos,Diferente,,,
28,Hombre,Ingenieria en Computacion,18,5,5,4,5,1,1,5,5,5,1,1,Campo,,Trabajo en equipo, trabajo bajo presi¢n, r†pida adaptaci¢n, comunicaci¢n, direcci¢n de equipo,10,9,8,8,9,Personal,,Desarrollo web, redes, bases de datos,sistemas operativos, inglÇs,10,10,9,10,10,Carrera Nueva,Diferente,,,
22,Mujer,Ingenier°a mecatr¢nica,18,2,4,4,2,5,1,1,1,4,3,3,Extranjero,, Creatividad,  conocimientos de diversas †reas de la ingenier°a,  trabajo en equipo,  trabajo individual,  liderazgo,8,7,8,8,7,Personal,,1. Matem†ticas,,,,,10,9,10,9,8,Carrera Nueva,Diferente,,,
22,Mujer,Ingenier°a Industrial,18,5,5,5,5,5,5,5,4,4,5,5,Oficinas,,Optimizaci¢n, procesos, matem†ticas, innovaci¢n, tecnolog°a,9,9,8,9,9,Personal,,Administraci¢n, f°sica, probabilidad, c†lculo, econ¢mia,9,9,10,8,9,Web / Redes Sociales,Sin Carrera,,,
22,Hombre,Ingenier°a Mec†nica,18,5,5,5,1,5,5,5,1,1,1,1,Campo,,Matem†tica, l¢gica, para resolver problemas, espacial y visual,,9,9,9,8,9,Personal,,Matem†ticas iv, v, vi, computaci¢n, f°sica,6,6,6,7,6,Ninguna,Diferente,,,
28,Hombre,Ingenier°a Petrolera,19,4,2,2,1,1,5,5,1,5,4,1,Campo,,Trabajo en equipo, trabajar bajo presi¢n, hablar en p£blico, capacidad de an†lisis y autodidacta,,9,8,8,8,9,Personal,,C†lculo 1 y 2, Qu°mica, F°sica, Matem†ticas y Probabilidad,,10,8,9,10,10,Ninguna,Sin Carrera,,,
20,Mujer,Ingenieria en Computacion,18,4,4,5,5,1,1,2,1,4,4,4,Oficinas,,L¢gica matem†tica, imaginaci¢n espacial, constancia, comprensi¢n de lectura, paciencia,7,10,9,9,8,Personal,,Matem†ticas 4,5 y 6, inform†tica aplicada, f°sica, opci¢n tÇcnica de computaci¢n,8,10,9,9,9,Ninguna,Misma,,,
22,Mujer,Ingenier°a mecatr¢nica,17,4,3,5,5,5,5,5,5,5,5,5,Oficinas,,Trabajo en equipo, organizaci¢n, comunicaci¢n, planeaci¢n, pensamiento l¢gico,9,10,10,10,10,Amigos,,Matem†ticas 4,5 y 6, temas selectos de matem†ticas, f°sica,,10,10,10,10,10,Carrera de Moda,Diferente,,,
24,Hombre,Lic Inform†tica,20,4,5,5,5,5,1,1,5,5,5,5,Oficinas,,Matem†tica,,,,,6,6,8,7,9,Personal,,Base de datos,,,,,9,8,9,8,8,Presencial,Diferente,,,
23,Mujer,Ingenieria en Computacion,17,2,2,5,5,5,5,5,1,2,2,3,Oficinas,,Autodidacta, creativo, responsable, trabajar en equipo y saber resolver problemas,,8,8,8,8,7,Familiares,,CibernÇtica ,C†lculo Diferencial,Calculo Integral,,,10,10,,,,Carrera de Moda,Sin Carrera,,,
20,Hombre,Ingenieria en Computacion,15,5,5,5,1,5,1,1,5,4,4,5,privado,,pensamieno critico,logica,constancia,estudio,,10,10,6,10,,Personal,,programacion, algebra,geometria analitica,calculo,,10,10,10,8,,Web / Redes Sociales,Sin Carrera,,,
23,Hombre,Ingenieria en Computacion,18,4,5,5,5,5,3,3,4,4,5,2,Oficinas,,Matem†ticas, C¢mputo, Programaci¢n, Planeaci¢n, Idiomas,8,9,9,10,10,Personal,,Programaci¢n, µlgebra, Geometr°a, C†lculo, F°sica,10,7,9,8,7,Web / Redes Sociales,Diferente,,,
22,Mujer,Gastronomia,17,5,5,5,1,5,5,5,4,1,1,1,,,Liderazgo,responsabilidad, creatividad, agilidad y destreza,,2,1,1,1,1,Personal,,Contabilidad, inform†tica.,,,,8,8,,,,Web / Redes Sociales,Sin Carrera,,,
24,Hombre,Ingenieria en Computacion,18,4,5,5,4,5,5,5,4,5,4,4,Oficinas,,Liderazgo, dedicaci¢, resoluci¢n de problema, ordenado, paciencia,3,4,3,3,2,Personal,,Matem†ticas,f°sica,qu°mica,literatura,inglÇs,3,3,3,3,2,Web / Redes Sociales,Sin Carrera,,,
21,Hombre,Ingenieria en Computacion,16,4,5,4,4,5,5,4,4,5,3,5,Oficinas,,Tolerancia,entendimiento,creatividad,detecci¢n,solucionar,10,10,10,10,10,Personal,,Matem†ticas, computaci¢n matem†ticas2 matem†ticas3, inform†tica,,,8,9,9,8,9,Web / Redes Sociales,Diferente,,,
36,Hombre,Biolog°a,17,5,5,5,1,4,1,1,1,1,1,4,Los dos: Oficina y campo,, Resoluci¢n de problemas,  Adaptabilidad,  Razonamiento anal°tico,  Trabajo en equipo,  Idiomas,8,10,8,9,6,Personal,,1. Biolog°a, 2. Estad°stica, 3. Geograf°a, 4. Matem†ticas, 5. Redacci¢n de textos.,10,9,10,8,10,Maestros,Sin Carrera,,,
22,Hombre,Ingenieria en Computacion,15,5,5,5,5,5,5,5,5,5,5,1,Extranjero,,Dominio del idioma inglÇs, certificaciones, matem†ticas, programaci¢n, habilidad matem†tica,10,10,10,10,9,Personal,,Matem†ticas, f°sica, quimica, psicolog°a, inglÇs,10,10,10,9,10,Ninguna,Diferente,,,
22,Mujer,Ingenieria en Computacion,18,4,5,2,5,2,1,1,1,5,5,3,Oficinas,,Razonamiento matem†tico, abstracci¢n,trabajar bajo presi¢n, habilidad para resoluci¢n de problemas, creatividad e imaginaci¢n,2,2,2,2,3,Personal,,CibernÇtica, c†lculo diferencial, integral, f°sica 1 y 2,,8,6,7,8,8,Web / Redes Sociales,Diferente,,,
23,Hombre,Ingenieria en Computacion,18,5,5,5,5,1,4,4,5,4,4,1,Oficinas,,Comprensi¢n matem†tica, razonamiento, habilidades comunicativas, creatividad, liderazgo,8,9,10,8,10,Personal,,Matem†ticas, f°sica, l¢gica, dibujo constructivo, inform†tica.,8,10,6,9,10,Web / Redes Sociales,Diferente,,,
